Timestamp,GPU 0 Memory (MiB),GPU 1 Memory (MiB),RAM Usage (MiB),SSD Usage (GiB)
0,18,213,3.756450653076172,1596.9679489135742
1,18,213,3.9660377502441406,1596.9679489135742
2,18,213,4.050529479980469,1596.9679489135742
3,18,213,4.301593780517578,1596.9679489135742
4,18,213,4.540702819824219,1596.9679489135742
5,18,213,4.6754302978515625,1596.9679489135742
6,18,3426,6.115589141845703,1596.9679489135742
7,18,3434,9.833301544189453,1596.9679489135742
8,18,3442,13.812904357910156,1596.9679489135742
9,18,3450,17.816993713378906,1596.9679489135742
10,18,3458,21.91244125366211,1596.9679489135742
11,18,3466,26.090885162353516,1596.9679489135742
12,18,3474,30.386016845703125,1596.9679489135742
13,18,3482,34.590431213378906,1596.9679489135742
14,18,3492,38.77994155883789,1596.9679489135742
15,18,3498,42.14390563964844,1596.9679489135742
16,18,3506,46.09715270996094,1596.9679489135742
17,18,3514,49.717750549316406,1596.9679489135742
18,18,3520,53.4605827331543,1596.9679489135742
19,18,3530,57.474342346191406,1596.9679489135742
20,18,3536,61.300209045410156,1596.9679489135742
21,18,3544,65.21108627319336,1596.9679489135742
22,18,3552,69.08544921875,1596.9679489135742
23,18,3560,73.02050399780273,1596.9679489135742
24,18,3568,77.11565017700195,1596.9679489135742
25,18,3576,81.05297470092773,1596.9679489135742
26,18,3582,84.96476364135742,1596.9679489135742
27,18,3590,88.86469268798828,1596.9679489135742
28,18,3598,92.84254455566406,1596.9679489135742
29,18,3606,96.67679977416992,1596.9679489135742
30,18,3614,100.59506607055664,1596.9679489135742
31,18,3622,104.60939407348633,1596.9679489135742
32,18,3630,108.47360610961914,1596.9679489135742
33,18,3636,112.52066802978516,1596.9679489135742
34,18,3644,115.68137741088867,1596.9679489135742
35,18,3644,115.86579513549805,1596.9679489135742
36,18,3644,115.92960739135742,1596.9679489135742
37,18,3644,115.73783493041992,1596.9679489135742
38,18,3644,115.88137817382812,1596.9679489135742
39,18,3644,115.44372940063477,1596.9679489135742
40,18,3644,115.81614685058594,1596.9679489135742
41,18,3644,115.35041046142578,1596.9679489135742
42,18,3644,114.8382453918457,1596.9679489135742
43,18,3644,115.44136810302734,1596.9679489135742
44,18,3644,114.86254119873047,1596.9679489135742
45,18,3644,115.75350570678711,1596.9679489135742
46,18,3644,115.51554107666016,1596.9679489135742
47,18,3644,115.57566452026367,1596.9679489135742
48,18,3644,115.0298957824707,1596.9679489135742
49,18,3644,114.95781707763672,1596.9679489135742
50,18,3644,114.79244613647461,1596.9679489135742
51,18,3644,114.44874954223633,1596.9679489135742
52,18,3644,115.24473190307617,1596.9679489135742
53,18,3644,115.43510437011719,1596.9679489135742
54,18,3644,114.61233520507812,1596.9679489135742
55,18,3644,115.0284652709961,1596.9679489135742
56,18,3644,114.62294006347656,1596.9679489135742
57,18,3644,115.43798828125,1596.9679489135742
58,18,3644,115.45841979980469,1596.9679489135742
59,18,3644,115.4334602355957,1596.9679489135742
60,18,3644,114.49534225463867,1596.9679489135742
61,18,3644,114.30185317993164,1596.9679489135742
62,18,3644,114.38573837280273,1596.9679489135742
63,18,3644,114.7905044555664,1596.9679489135742
64,18,3644,115.46058654785156,1596.9679489135742
65,18,3644,115.54125595092773,1596.9679489135742
66,18,3644,114.5077133178711,1596.9679489135742
67,18,3644,115.01645278930664,1596.9679489135742
68,18,3644,114.79169845581055,1596.9679489135742
69,18,3644,114.79806518554688,1596.9679489135742
70,18,3644,115.65888214111328,1596.9679489135742
71,18,3644,115.64218139648438,1596.9679489135742
72,18,3644,114.96577453613281,1596.9679489135742
73,18,3644,115.17515182495117,1596.9679489135742
74,18,3644,116.23129272460938,1596.9679489135742
75,18,3644,114.56995391845703,1596.9679489135742
76,18,4538,114.85089111328125,1596.9679489135742
77,18,4538,114.85104370117188,1596.9679489135742
78,18,4538,114.8624153137207,1596.9679489135742
79,18,4538,114.8786506652832,1596.9679489135742
80,18,4538,114.87001037597656,1596.9679489135742
81,18,4540,114.87952041625977,1596.9679489135742
82,18,5800,115.0246696472168,1596.9679489135742
83,18,5800,115.02524948120117,1596.9679489135742
84,18,5800,115.02777862548828,1596.9679489135742
85,18,5800,115.03177642822266,1596.9679489135742
86,18,5800,115.02841567993164,1596.9679489135742
87,18,6676,115.03739929199219,1596.9679489135742
88,18,6676,115.03821563720703,1596.9679489135742
89,18,6676,115.04133605957031,1596.9679489135742
90,18,6676,115.05018615722656,1596.9679489135742
91,18,6676,115.04671096801758,1596.9679489135742
92,18,6676,115.0519790649414,1596.9679489135742
93,18,7552,115.0530776977539,1596.9679489135742
94,18,7552,115.05612182617188,1596.9679489135742
95,18,7552,115.08083724975586,1596.9679489135742
96,18,7552,115.08966445922852,1596.9679489135742
97,18,7552,115.08999633789062,1596.9679489135742
98,18,7552,115.0871810913086,1596.9679489135742
99,18,7552,115.0897445678711,1596.9679489135742
100,18,7552,115.09053802490234,1596.9679489135742
101,18,7552,115.0866813659668,1596.9679489135742
102,18,7552,115.09697723388672,1596.9679489135742
103,18,7552,115.09932327270508,1596.9679489135742
104,18,7552,115.10430908203125,1596.9679489135742
105,18,7552,115.11271667480469,1596.9679489135742
106,18,7552,115.10139465332031,1596.9679489135742
107,18,7552,115.09723281860352,1596.9679489135742
108,18,7552,115.11310958862305,1596.9679489135742
109,18,7552,115.11357498168945,1596.9679489135742
110,18,7552,115.11104965209961,1596.9679489135742
111,18,7552,115.10775756835938,1596.9679489135742
112,18,7552,115.1120834350586,1596.9679489135742
113,18,7552,115.11627960205078,1596.9679489135742
