Timestamp,GPU 0 Memory (MiB),GPU 1 Memory (MiB),RAM Usage (MiB),SSD Usage (GiB)
0,18,213,8.06396484375,1596.9679489135742
1,18,213,8.253368377685547,1596.9679489135742
2,18,213,8.35903549194336,1596.9679489135742
3,18,213,8.607597351074219,1596.9679489135742
4,18,213,8.849544525146484,1596.9679489135742
5,18,213,8.9971923828125,1596.9679489135742
6,18,3808,10.699150085449219,1596.9679489135742
7,18,3816,14.279243469238281,1596.9679489135742
8,18,3822,17.6141357421875,1596.9679489135742
9,18,3828,20.89181900024414,1596.9679489135742
10,18,3834,23.698871612548828,1596.9679489135742
11,18,3838,27.095325469970703,1596.9679489135742
12,18,3838,26.17148208618164,1596.9679489135742
13,18,3838,26.132930755615234,1596.9679489135742
14,18,3838,26.205120086669922,1596.9679489135742
15,18,3838,26.358261108398438,1596.9679489135742
16,18,3838,26.345985412597656,1596.9679489135742
17,18,3838,26.301021575927734,1596.9679489135742
18,18,3838,27.001182556152344,1596.9679489135742
19,18,3838,26.304889678955078,1596.9679489135742
20,18,4858,26.54690170288086,1596.9679489135742
21,18,6016,26.698776245117188,1596.9679489135742
22,18,7020,26.700550079345703,1596.9679489135742
23,18,7020,26.699596405029297,1596.9679489135742
24,18,7020,26.71092987060547,1596.9679489135742
25,18,7020,26.70461654663086,1596.9679489135742
26,18,7020,26.706336975097656,1596.9679489135742
27,18,7020,26.710433959960938,1596.9679489135742
28,18,7020,26.69878387451172,1596.9679489135742
29,18,7020,26.69504165649414,1596.9679489135742
30,18,7020,26.699050903320312,1596.9679489135742
31,18,7020,26.701202392578125,1596.9679489135742
32,18,7020,26.696910858154297,1596.9679489135742
33,18,7022,26.697933197021484,1596.9679489135742
34,18,7022,26.696712493896484,1596.9679489135742
35,18,7022,26.697498321533203,1596.9679489135742
36,18,7022,26.704898834228516,1596.9679489135742
37,18,7022,26.70645523071289,1596.9679489135742
38,18,7022,26.710132598876953,1596.9679489135742
39,18,7022,26.720855712890625,1596.9679489135742
40,18,7022,26.721351623535156,1596.9679489135742
41,18,7022,26.719627380371094,1596.9679489135742
42,18,7022,26.722694396972656,1596.9679489135742
43,18,7022,26.723857879638672,1596.9679489135742
44,18,7022,26.72662353515625,1596.9679489135742
45,18,7022,26.72104263305664,1596.9679489135742
46,18,7022,26.714221954345703,1596.9679489135742
47,18,213,8.643672943115234,1596.9679489135742
48,18,213,8.64688491821289,1596.9679489135742
49,18,213,8.042755126953125,1596.9679489135742
50,18,213,8.035957336425781,1596.9679489135742
51,18,213,8.040168762207031,1596.9679489135742
52,18,213,8.045413970947266,1596.9679489135742
