Timestamp,GPU 0 Memory (MiB),GPU 1 Memory (MiB),RAM Usage (MiB),SSD Usage (GiB)
0,15,215,4.527759552001953,0.005931854248046875
1,15,215,4.712467193603516,0.005931854248046875
2,18,218,4.873729705810547,0.005931854248046875
3,18,218,5.138851165771484,0.005931854248046875
4,18,218,5.372779846191406,0.005931854248046875
