Timestamp,GPU 0 Memory (MiB),GPU 1 Memory (MiB),RAM Usage (MiB),SSD Usage (GiB)
0,18,213,8.051658630371094,1596.9679489135742
1,18,213,8.046817779541016,1596.9679489135742
2,18,213,8.044692993164062,1596.9679489135742
3,18,213,8.049816131591797,1596.9679489135742
4,18,213,8.045486450195312,1596.9679489135742
5,18,213,8.045345306396484,1596.9679489135742
6,18,213,8.04916763305664,1596.9679489135742
7,18,213,8.046043395996094,1596.9679489135742
8,18,213,8.038925170898438,1596.9679489135742
9,18,213,8.04581069946289,1596.9679489135742
10,18,213,8.04964828491211,1596.9679489135742
11,18,213,8.0550537109375,1596.9679489135742
12,18,213,8.05270004272461,1596.9679489135742
13,18,213,8.055267333984375,1596.9679489135742
14,18,213,8.056777954101562,1596.9679489135742
15,18,213,8.051517486572266,1596.9679489135742
16,18,213,8.057575225830078,1596.9679489135742
17,18,213,8.1875,1596.9679489135742
18,18,213,8.34151840209961,1596.9679489135742
19,18,213,8.59531021118164,1596.9679489135742
20,18,213,8.826889038085938,1596.9679489135742
21,18,213,8.983406066894531,1596.9679489135742
22,18,213,8.988903045654297,1596.9679489135742
23,18,1746,12.610885620117188,1596.9679489135742
24,18,1754,16.71072006225586,1596.9679489135742
25,18,1762,20.297218322753906,1596.9679489135742
26,18,1768,23.433300018310547,1596.9679489135742
27,18,1774,26.516395568847656,1596.9679489135742
28,18,1780,30.07587432861328,1596.9679489135742
29,18,1788,33.98930740356445,1596.9679489135742
30,18,1796,37.59112548828125,1596.9679489135742
31,18,1804,41.46411895751953,1596.9679489135742
32,18,1810,45.135765075683594,1596.9679489135742
33,18,1818,49.0436897277832,1596.9679489135742
34,18,1822,50.77786636352539,1596.9679489135742
35,18,1822,50.80462646484375,1596.9679489135742
36,18,1822,50.81430435180664,1596.9679489135742
37,18,1822,50.815216064453125,1596.9679489135742
38,18,1822,50.816322326660156,1596.9679489135742
39,18,1822,50.795982360839844,1596.9679489135742
40,18,1822,50.80134582519531,1596.9679489135742
41,18,1822,50.80620574951172,1596.9679489135742
42,18,1822,50.8033332824707,1596.9679489135742
43,18,1822,50.79585266113281,1596.9679489135742
44,18,1822,50.8021240234375,1596.9679489135742
45,18,1822,50.808189392089844,1596.9679489135742
46,18,1822,50.804466247558594,1596.9679489135742
47,18,2160,51.101192474365234,1596.9679489135742
48,18,2168,51.101566314697266,1596.9679489135742
49,18,3980,51.28236770629883,1596.9679489135742
50,18,3980,51.285282135009766,1596.9679489135742
51,18,4294,51.28573989868164,1596.9679489135742
52,18,4296,51.28727722167969,1596.9679489135742
53,18,4610,51.288333892822266,1596.9679489135742
54,18,4610,51.28605651855469,1596.9679489135742
55,18,4610,51.2885856628418,1596.9679489135742
56,18,4612,51.29433822631836,1596.9679489135742
57,18,4612,51.29917526245117,1596.9679489135742
58,18,4612,51.295780181884766,1596.9679489135742
59,18,4612,51.29485321044922,1596.9679489135742
60,18,4612,51.293670654296875,1596.9679489135742
61,18,4614,51.28607940673828,1596.9679489135742
62,18,4614,51.28278732299805,1596.9679489135742
63,18,4616,51.281734466552734,1596.9679489135742
64,18,4616,51.291873931884766,1596.9679489135742
65,18,4616,51.28782653808594,1596.9679489135742
66,18,4616,51.28445816040039,1596.9679489135742
67,18,4618,51.290035247802734,1596.9679489135742
68,18,4618,51.27695846557617,1596.9679489135742
69,18,4618,51.276912689208984,1596.9679489135742
70,18,4620,51.27131652832031,1596.9679489135742
71,18,4620,51.27778244018555,1596.9679489135742
72,18,4620,51.2763557434082,1596.9679489135742
73,18,4620,51.27336883544922,1596.9679489135742
74,18,4620,51.27775573730469,1596.9679489135742
75,18,4620,51.2779426574707,1596.9679489135742
76,18,4620,51.27262496948242,1596.9679489135742
77,18,4620,51.266292572021484,1596.9679489135742
78,18,4622,51.26871109008789,1596.9679489135742
79,18,4624,51.27461624145508,1596.9679489135742
80,18,4626,51.2746696472168,1596.9679489135742
81,18,4626,51.27671813964844,1596.9679489135742
